dealdate,section,dealtime,priceClose,TendSummary
20200303,1,104700,11329.00,-1
20200303,1,104800,11331.00,-1
20200303,1,104900,11330.00,-1
20200303,1,105000,11335.00,-1
20200303,1,105100,11334.00,-1
20200303,1,105200,11333.00,-1
20200303,1,105300,11327.00,-1
20200303,1,105400,11329.00,-1
20200303,1,105500,11328.00,-1
20200303,1,105600,11324.00,-1
20200303,1,105700,11327.00,-1
20200303,1,105800,11332.00,-1
20200303,1,105900,11335.00,-1
20200303,1,110000,11338.00,-1
20200303,1,110100,11334.00,-1
20200303,1,110200,11340.00,-1
20200303,1,110300,11342.00,-1
20200303,1,110400,11344.00,-1
20200303,1,110500,11344.00,-1
20200303,1,110600,11341.00,-1
20200303,1,110700,11341.00,-1
20200303,1,110800,11338.00,-1
20200303,1,110900,11338.00,-1
20200303,1,111000,11334.00,-1
20200303,1,111100,11333.00,-1
20200303,1,111200,11334.00,-1
20200303,1,111300,11332.00,-1
20200303,1,111400,11337.00,-1
20200303,1,111500,11338.00,-1
20200303,1,111600,11339.00,-1
20200303,1,111700,11339.00,-1
20200303,1,111800,11336.00,-1
20200303,1,111900,11333.00,-1
20200303,1,112000,11335.00,-1
20200303,1,112100,11340.00,-1
20200303,1,112200,11343.00,-1
20200303,1,112300,11343.00,-1
20200303,1,112400,11343.00,-1
20200303,1,112500,11344.00,-1
20200303,1,112600,11345.00,-1
20200303,1,112700,11349.00,-1
20200303,1,112800,11351.00,-1
20200303,1,112900,11356.00,-1
20200303,1,113000,11355.00,-1
20200303,1,113100,11356.00,-1
20200303,1,113200,11356.00,-1
20200303,1,113300,11354.00,-1
20200303,1,113400,11355.00,-1
20200303,1,113500,11351.00,-1
20200303,1,113600,11350.00,-1
20200303,1,113700,11353.00,-1
20200303,1,113800,11355.00,-1
20200303,1,113900,11357.00,-1
20200303,1,114000,11358.00,-1
20200303,1,114100,11362.00,-1
20200303,1,114200,11364.00,-1
20200303,1,114300,11363.00,-1
20200303,1,114400,11365.00,-1
20200303,1,114500,11367.00,-1
20200303,1,114600,11361.00,-1
20200303,1,114700,11363.00,-1
20200303,1,114800,11366.00,-1
20200303,1,114900,11369.00,-1
20200303,1,115000,11373.00,-1
20200303,1,115100,11370.00,-1
20200303,1,115200,11372.00,-1
20200303,1,115300,11373.00,-1
20200303,1,115400,11371.00,-1
20200303,1,115500,11368.00,-1
20200303,1,115600,11370.00,-1
20200303,1,115700,11372.00,-1
20200303,1,115800,11370.00,-1
20200303,1,115900,11371.00,-1
20200303,1,120000,11370.00,-1
20200303,1,120100,11370.00,-1
20200303,1,120200,11371.00,-1
20200303,1,120300,11370.00,-1
20200303,1,120400,11365.00,-1
20200303,1,120500,11367.00,-1
20200303,1,120600,11368.00,-1
20200303,1,120700,11364.00,-1
20200303,1,120800,11367.00,-1
20200303,1,120900,11365.00,-1
20200303,1,121000,11369.00,-1
20200303,1,121100,11367.00,-1
20200303,1,121200,11365.00,-1
20200303,1,121300,11362.00,-1
20200303,1,121400,11361.00,-1
20200303,1,121500,11367.00,-1
20200303,1,121600,11364.00,-1
20200303,1,121700,11362.00,-1
20200303,1,121800,11361.00,-1
20200303,1,121900,11360.00,-1
20200303,1,122000,11352.00,-1
20200303,1,122100,11351.00,-1
20200303,1,122200,11351.00,-1
20200303,1,122300,11347.00,-1
20200303,1,122400,11343.00,-1
20200303,1,122500,11340.00,-1
20200303,1,122600,11343.00,-1
20200303,1,122700,11344.00,-1
20200303,1,122800,11340.00,-1
20200303,1,122900,11335.00,-1
20200303,1,123000,11331.00,-1
20200303,1,123100,11324.00,-1
20200303,1,123200,11329.00,-1
20200303,1,123300,11331.00,-1
20200303,1,123400,11324.00,-1
20200303,1,123500,11327.00,-1
20200303,1,123600,11327.00,-1
20200303,1,123700,11334.00,-1
20200303,1,123800,11338.00,-1
20200303,1,123900,11342.00,-1
20200303,1,124000,11341.00,-1
20200303,1,124100,11341.00,-1
20200303,1,124200,11339.00,-1
20200303,1,124300,11336.00,-1
20200303,1,124400,11333.00,-1
20200303,1,124500,11337.00,-1
20200303,1,124600,11335.00,-1
20200303,1,124700,11337.00,-1
20200303,1,124800,11340.00,-1
20200303,1,124900,11338.00,-1
20200303,1,125000,11341.00,-1
20200303,1,125100,11341.00,-1
20200303,1,125200,11341.00,-1
20200303,1,125300,11341.00,-1
20200303,1,125400,11339.00,-1
20200303,1,125500,11341.00,-1
20200303,1,125600,11342.00,-1
20200303,1,125700,11343.00,-1
20200303,1,125800,11339.00,-1
20200303,1,125900,11338.00,-1
20200303,1,130000,11340.00,-1
20200303,1,130100,11339.00,-1
20200303,1,130200,11339.00,-1
20200303,1,130300,11338.00,-1
20200303,1,130400,11334.00,-1
20200303,1,130500,11328.00,-1
20200303,1,130600,11328.00,-1
20200303,1,130700,11327.00,-1
20200303,1,130800,11325.00,-1
20200303,1,130900,11321.00,-1
20200303,1,131000,11319.00,-1
20200303,1,131100,11324.00,-1
20200303,1,131200,11325.00,-1
20200303,1,131300,11324.00,-1
20200303,1,131400,11329.00,-1
20200303,1,131500,11327.00,-1
20200303,1,131600,11324.00,-1
20200303,1,131700,11323.00,-1
20200303,1,131800,11322.00,-1
20200303,1,131900,11325.00,-1
20200303,1,132000,11318.00,-1
20200303,1,132100,11319.00,-1
20200303,1,132200,11320.00,-1
20200303,1,132300,11322.00,-1
20200303,1,132400,11323.00,-1
20200303,1,132500,11315.00,-1
20200303,1,132600,11314.00,-1
20200303,1,132700,11311.00,-1
20200303,1,132800,11317.00,-1
20200303,1,132900,11310.00,-1
20200303,1,133000,11309.00,-1
20200303,1,133100,11314.00,-1
20200303,1,133200,11315.00,-1
20200303,1,133300,11315.00,-1
20200303,1,133400,11313.00,-1
20200303,1,133500,11313.00,-1
20200303,1,133600,11314.00,-1
20200303,1,133700,11314.00,-1
20200303,1,133800,11313.00,-1
20200303,1,133900,11314.00,-1
20200303,1,134000,11315.00,-1
20200303,1,134100,11313.00,-1
20200303,1,134200,11316.00,-1
20200303,1,134300,11318.00,-1
20200303,1,134400,11324.00,-1
20200304,1,084500,11350.00,-1
20200304,1,084600,11346.00,1
20200304,1,084700,11342.00,1
20200304,1,084800,11338.00,1
20200304,1,084900,11340.00,1
20200304,1,085000,11342.00,1
20200304,1,085100,11350.00,-1
20200304,1,085200,11352.00,-1
20200304,1,085300,11349.00,1
20200304,1,085400,11352.00,-1
20200304,1,085500,11352.00,-1
20200304,1,085600,11359.00,-1
20200304,1,085700,11360.00,-1
20200304,1,085800,11353.00,-1
20200304,1,085900,11355.00,-1
20200304,1,090000,11347.00,-1
20200304,1,090100,11351.00,-1
20200304,1,090200,11346.00,-1
20200304,1,090300,11319.00,1
20200304,1,090400,11320.00,1
20200304,1,090500,11310.00,1
20200304,1,090600,11326.00,1
20200304,1,090700,11331.00,1
20200304,1,090800,11332.00,1
20200304,1,090900,11326.00,1
20200304,1,091000,11338.00,1
20200304,1,091100,11341.00,1
20200304,1,091200,11340.00,1
20200304,1,091300,11337.00,-1
20200304,1,091400,11341.00,1
20200304,1,091500,11328.00,1
20200304,1,091600,11325.00,1
20200304,1,091700,11325.00,1
20200304,1,091800,11339.00,1
20200304,1,091900,11344.00,1
20200304,1,092000,11337.00,1
20200304,1,092100,11336.00,1
20200304,1,092200,11337.00,1
20200304,1,092300,11336.00,1
